Date,AveragePrice,TotalVolume,TotalBags,SmallBags
2015-12-27,1.33,64236.62,8696.87,8603.62
2015-12-20,1.35,54876.98,9505.56,9408.07
2015-12-13,0.93,118220.22,8145.35,8042.21
2015-12-06,1.08,78992.15,5811.16,5677.4
2015-11-29,1.28,51039.6,6183.95,5986.26
2015-11-22,1.26,55979.78,6683.91,6556.47
2015-11-15,0.99,83453.76,8318.86,8196.81
2015-11-08,0.98,109428.33,6829.22,6266.85
2015-11-01,1.02,99811.42,11388.36,11104.53
2015-10-25,1.07,74338.76,8625.92,8061.47
2015-10-18,1.12,84843.44,8205.66,7877.86
2015-10-11,1.28,64489.17,10123.9,9866.27
2015-10-04,1.31,61007.1,8756.75,8379.98
2015-09-27,0.99,106803.39,6034.46,5888.87
2015-09-20,1.33,69759.01,9267.36,8489.1
2015-09-13,1.28,76111.27,9286.68,8665.19
2015-09-06,1.11,99172.96,7990.1,7762.87
2015-08-30,1.07,105693.84,10306.73,10218.93
2015-08-23,1.34,79992.09,10880.36,10745.79
2015-08-16,1.33,80043.78,10443.22,10297.68
2015-08-09,1.12,111140.93,9225.89,9116.34
2015-08-02,1.45,75133.1,11847.02,11768.52
2015-07-26,1.11,106757.1,13192.69,13061.53
2015-07-19,1.26,96617,11287.48,11103.49
2015-07-12,1.05,124055.31,24431.9,24290.08
2015-07-05,1.35,109252.12,29898.96,29663.19
2015-06-28,1.37,89534.81,26662.08,26311.76
2015-06-21,1.27,104849.39,21875.65,21662
2015-06-14,1.32,89631.3,29002.59,28343.14
2015-06-07,1.07,122743.06,22775.21,22314.99
2015-05-31,1.23,95123.62,23681.01,23222.49
2015-05-24,1.19,101470.91,29355.13,28761.81
2015-05-17,1.43,109857.47,26657.44,26285.43
2015-05-10,1.26,120427.91,16821.3,16535.55
2015-05-03,1.2,59197.67,12570.51,12201.95
2015-04-26,1.22,49585.46,12778.44,12076.83
2015-04-19,1.19,49064.73,14301.92,13602.97
2015-04-12,1.13,48364.29,17104.37,16438.49
2015-04-05,1.16,47362.13,10728.94,9869.16
2015-03-29,1.02,67799.08,7684.08,7208.49
2015-03-22,1.12,46346.85,9749.66,9252.6
2015-03-15,1.11,43045.79,10370.69,9989.59
2015-03-08,1.07,40507.36,9181.99,8827.55
2015-03-01,0.99,55595.74,9151.45,8986.06
2015-02-22,1.07,45675.05,9379.54,9000.16
2015-02-15,1.06,41567.62,10313.03,9979.87
2015-02-08,0.99,51253.97,10621.54,10113.1
2015-02-01,0.99,70873.6,9323.18,9170.82
2015-01-25,1.06,45147.5,10845.82,10103.35
2015-01-18,1.17,44511.28,11921.05,11651.09
2015-01-11,1.24,41195.08,8424.77,8036.04
2015-01-04,1.22,40873.28,9716.46,9186.93
2015-12-27,0.99,386100.49,66354.31,48605.95
2015-12-20,1.08,331377.53,58797.87,46930.26
2015-12-13,0.96,417772.47,61545.31,38903.57
2015-12-06,1.07,357636.82,50690.04,37032.67
2015-11-29,0.99,333280.79,53794.68,33031.72
2015-11-22,1,356414.57,56382.08,36992.3
2015-11-15,1.13,339860.68,47046.48,33656.42
2015-11-08,1.12,334041.6,48628.65,35662.93
2015-11-01,0.99,419088.74,65398.38,39460.77
2015-10-25,1.09,358478.08,56751.46,31826.88
2015-10-18,1.09,349072.48,60339.19,36884.35
2015-10-11,0.95,433874.46,86294.11,41159.96
2015-10-04,0.96,418682.26,59460.41,14875.64
2015-09-27,1.07,370321.17,45662.3,20533.87
2015-09-20,0.93,516432.6,86201.96,33698.43
2015-09-13,1.07,417232.18,75983.02,46290.32
2015-09-06,0.97,472136.53,94436.19,49833.55
2015-08-30,1.15,382972.72,61281.24,47138.07
2015-08-23,1.12,379054.29,57418.09,45534.11
2015-08-16,1.09,465213.81,59216.9,45068.25
2015-08-09,1.01,503791.72,67472.2,45820.45
2015-08-02,1.15,405898.44,53888.32,42126.47
2015-07-26,1.08,437377.75,57210.66,45114.22
2015-07-19,0.97,557212.99,61292.37,45099.87
2015-07-12,1.14,407204.88,58303.85,46023.59
2015-07-05,1.01,562462.33,70560.49,50684.74
2015-06-28,1.13,435210.71,65342.19,52099.76
2015-06-21,0.99,554763.76,74542.11,55484.76
2015-06-14,1.1,465804.78,61261.44,48612.13
2015-06-07,0.99,551009.05,72290.28,50954.84
2015-05-31,1.1,454702,51735.02,40505.16
2015-05-24,0.96,623212.04,56539.87,33867
2015-05-17,1.11,451250.7,45392.29,33710.2
2015-05-10,1.1,480071.18,46668.26,34108.44
2015-05-03,1,634213.1,66181.63,32520.82
2015-04-26,1.12,448596.76,41511.84,31315.29
2015-04-19,1.12,430966.34,43342.6,29661.72
2015-04-12,0.99,451101.89,50884.32,25833.07
2015-04-05,1.04,383139.49,45037.12,28612.48
2015-03-29,1.11,365722.14,43780.25,29313.92
2015-03-22,1,479590.62,62275.1,40495.12
2015-03-15,1.12,399566.22,46575.23,34911.7
2015-03-08,1.1,420826.32,43241.42,33847.33
2015-03-01,0.99,512532.44,49456.96,32180.9
2015-02-22,1.1,431308.56,43430.04,33423.74
2015-02-15,1.06,427391.28,44885.92,26727.66
2015-02-08,1.03,433883.91,38940.18,18044.41
2015-02-01,0.96,636771.37,51694.49,10553.73
2015-01-25,1.1,449332.85,36612.16,13176.39
2015-01-18,1.11,431490.99,40040.48,16782.71
2015-01-11,1.11,397542.72,47038.08,21309.61
2015-01-04,1,435021.49,46815.79,16707.15
2015-12-27,1.17,596819.4,144911.1,142543.88
2015-12-20,1.11,642682.4,144238.07,141751.91
2015-12-13,1.15,619509.33,150966.28,149070.4
2015-12-06,1.04,649141.25,118664.97,117112.77
2015-11-29,1.16,545800.05,105468.28,103615.95
2015-11-22,1.12,572019.8,121670.73,119007.61
2015-11-15,1.04,718330.48,129760.36,125297.67
2015-11-08,1.05,830967.23,144840.21,138777.63
2015-11-01,1.12,742220.67,157925.7,152716.4
2015-10-25,1.19,656892.03,156128.69,149987.55
2015-10-18,0.99,1005603.78,151925.64,146421.02
2015-10-11,1.24,653560.14,168354.42,163669.01
2015-10-04,1.28,657444.04,172234.02,167494.61
2015-09-27,1.19,696281.81,151893.12,146792.81
2015-09-20,1.17,709268.62,174029.62,168889.78
2015-09-13,1.09,924993.61,151499.56,145686.02
2015-09-06,1.18,823623.36,168970.84,165696.58
2015-08-30,1.24,734721.29,185304.24,181968.79
2015-08-23,1.16,783935.36,178376.77,175047.15
2015-08-16,1.14,882754.72,155975.35,153156.63
2015-08-09,1.16,821523.45,164862.89,161564.81
2015-08-02,1.17,800603.23,166728.92,163667.68
2015-07-26,1.2,772926.12,178660.25,174774.8
2015-07-19,1.18,800194.34,200713.09,196837.6
2015-07-12,1.1,850931.58,193887.17,189236.32
2015-07-05,1.16,896298.77,206108.89,200097.99
2015-06-28,1.15,862261.64,211564.63,207378.09
2015-06-21,1.16,862840.73,224622.73,220904.35
2015-06-14,1.09,955046.82,249197.18,244982.26
2015-06-07,1.26,794310.29,225052.84,221165.85
2015-05-31,1.19,949177.06,217785.55,211787.29
2015-05-24,1.18,908661.83,234503.17,228842.95
2015-05-17,1.27,790853.86,227331.17,222163.1
2015-05-10,1.26,855205.82,224519.06,215572.03
2015-05-03,1.17,896972.05,209686.17,201874.28
2015-04-26,1.29,747841.09,218351.8,212064.73
2015-04-19,1.28,762862.62,225627.29,219885.88
2015-04-12,1.15,837629.62,201392.01,196076.34
2015-04-05,1.29,688065.45,191339.73,184109.06
2015-03-29,1.25,663677.32,163768.62,158964.08
2015-03-22,1.1,808897.21,176385.62,171699.95
2015-03-15,1.24,693698.13,197864.76,193130.9
2015-03-08,1.26,657745.9,192522.26,188374.49
2015-03-01,1.16,770115.24,171961.07,168224.2
2015-02-22,1.11,749845.79,190762.55,186976.97
2015-02-15,1.25,637319.34,179990.18,174864.87
2015-02-08,1.09,844931.21,180932.96,175771.39
2015-02-01,1.06,1007418.76,164589.36,159916.87
2015-01-25,1.2,692934.46,217350.64,209761.81
2015-01-18,1.23,657741.34,173858.5,169390.88
2015-01-11,1.17,670231.94,155406.52,151330.87
2015-01-04,1.08,788025.06,141136.68,137146.07
2015-12-27,0.97,62909.69,23561.1,23520.19
2015-12-20,1.03,57504.05,21935.9,21900.35
2015-12-13,0.99,58461.05,21868.27,21842.87
2015-12-06,0.71,95295.34,43091.6,42734.53
2015-11-29,1.06,49069.13,16057.99,15860.63
2015-11-22,1.09,52875.58,17547.95,17530.67
2015-11-15,1.01,68648.22,25635.41,25200.25
2015-11-08,1.11,55847.79,12999.91,12777.83
2015-11-01,1.14,53585.51,12362.73,12331.82
2015-10-25,1.11,59874.45,13711.48,13660.98
2015-10-18,1.16,54191.14,8921.26,8918
2015-10-11,0.94,80904.19,13769.64,13543.47
2015-10-04,1.12,59496.33,5968.42,5462.15
2015-09-27,0.99,64187.8,7763.11,7596.64
2015-09-20,1.03,73952.9,10893.8,10601.02
2015-09-13,1.08,64208.84,7482.65,7482.65
2015-09-06,1.16,64464.61,6936.04,6934.43
2015-08-30,1.19,60099.83,5440.56,5440.56
2015-08-23,1.05,70773.76,7420.09,7420.09
2015-08-16,1.12,64001.61,6096.91,6090.51
2015-08-09,1.1,61286.98,7582.25,7568.92
2015-08-02,1.07,67763.91,6036.39,5987.5
2015-07-26,1.07,67826.07,6511.85,6358.04
2015-07-19,1.09,63958.04,7170.97,6354.45
2015-07-12,1.05,74677.72,9571.92,8335.04
2015-07-05,1.15,85044.45,6637.61,6557.06
2015-06-28,1.04,75280.41,5621.07,5619.44
2015-06-21,1.06,81397.07,7286.27,7021.56
2015-06-14,0.99,87607.71,7800.04,7800.04
2015-06-07,1.12,80751.29,5612.56,5603.8
2015-05-31,0.97,76689.38,7866.15,7860.31
2015-05-24,1.03,83209.77,7507.26,7469.51
2015-05-17,0.96,77987.53,6354.01,6345.82
2015-05-10,1.06,95788.53,9495.53,9453.06
2015-05-03,1,85466.99,6354.81,6349.93
2015-04-26,0.96,88111.17,7179.45,7174.6
2015-04-19,0.99,89694.96,7960.22,7953.8
2015-04-12,1.19,66246.3,5747.78,5747.78
2015-04-05,1.09,76704.46,6513.78,6510.61
2015-03-29,0.98,74543.98,4789.54,4789.54
2015-03-22,1.17,61419.11,3311.77,3311.77
2015-03-15,1,65918.28,4445.9,4445.9
2015-03-08,1.14,65350.24,4860.43,4860.43
2015-03-01,1.06,75046.37,7237.98,6478.75
2015-02-22,0.99,76836.1,7467.27,7235.2
2015-02-15,1.14,61221.98,5340.86,3647.52
2015-02-08,1.07,69970.75,3047.17,1373.42
2015-02-01,0.91,113578.24,6644.84,4867.26
2015-01-25,1.03,66069.21,4530.04,2009.53
2015-01-18,1.08,62870.49,3915.94,1119.18
2015-01-11,1.18,57355.52,4923.75,3295.11
2015-01-04,1.01,80034.32,7755.62,6064.3
2015-12-27,1.13,450816.39,86012.86,85913.6
2015-12-20,1.07,489802.88,88901.8,88768.47
2015-12-13,1.01,549945.76,89722.96,89523.38
2015-12-06,1.02,488679.31,75889.78,75666.22
2015-11-29,1.19,350559.81,74125.62,73864.52
2015-11-22,1.07,466759.99,78648.17,78161.82
2015-11-15,1.05,513738.98,87352.15,85604.19
2015-11-08,1.04,641759.57,93342.82,88265.25
2015-11-01,1.06,553096.84,98507.92,93443.08
2015-10-25,1.02,534249.47,99326.99,94581.94
2015-10-18,0.94,725296.29,91049.58,86046.25
2015-10-11,1.14,485706.68,101909.89,97513.23
2015-10-04,1.07,536479.42,103038.91,97207.43
2015-09-27,1.07,553307.04,84726.9,82123.56
2015-09-20,1.15,498640.23,95171.55,91612.66
2015-09-13,1.03,655682.95,89114.66,84843.55
2015-09-06,1.11,577774.74,95172.85,94558.41
2015-08-30,1.13,526664.87,83430.9,83242.01
2015-08-23,1.07,589471.32,95826.5,95585.38
2015-08-16,1.15,565795.06,96109.23,95887.01
2015-08-09,1.07,690517.19,94518.79,94287.69
2015-08-02,1.17,571994.5,97508.59,97214.15
2015-07-26,1.28,500233.69,100694.94,100466.86
2015-07-19,1.18,597168.12,109746.47,109519
2015-07-12,1.14,634515.74,148182.59,146946.54
2015-07-05,1.27,582909.73,148861.42,145982.99
2015-06-28,1.25,560494.92,143455.74,142574.63
2015-06-21,1.24,543504.66,126114.48,125821.15
2015-06-14,1.08,684346.48,151442.1,151258.77
2015-06-07,1.25,562542.86,137408.28,137224.94
2015-05-31,1.26,565160.95,142818.64,142515.32
2015-05-24,1.14,633521.98,138157.74,137769.31
2015-05-17,1.26,534488.54,149526.12,147667.72
2015-05-10,1.14,625558.14,143997.65,141309.43
2015-05-03,1.17,552368.94,118714.26,115148.87
2015-04-26,1.28,465911.37,109400.12,106866.42
2015-04-19,1.15,504619.83,115562.72,114562.17
2015-04-12,1.26,408485.16,110638.95,108644.33
2015-04-05,1.27,449818.01,115635.81,113541.34
2015-03-29,1.19,453631.25,110561.28,108838.11
2015-03-22,1.18,453173.22,102664.18,102204.17
2015-03-15,1.25,417750.36,102556.32,101931.87
2015-03-08,1.17,408403.96,114386.82,113811.26
2015-03-01,1.11,485736.1,97862.93,97423.17
2015-02-22,1.23,355432.28,100715.97,100498.19
2015-02-15,1.2,399883.99,114839.16,114283.61
2015-02-08,1.04,609985.34,106216.72,105403.38
2015-02-01,1.22,490022.14,110214.39,109900.93
2015-01-25,1.17,409343.56,116472.16,115538.05
2015-01-18,1.23,401331.33,109036.52,108668.74
2015-01-11,1.1,437771.89,111524.61,111192.88
2015-01-04,1.02,491738,87663.13,87406.84
2015-12-27,1.35,96233.08,55236.68,55236.68
2015-12-20,1.37,90867.51,51165.21,51165.21
2015-12-13,1.35,98473.23,56202.44,56202.44
2015-12-06,1.23,108457.82,48355.65,48355.65
2015-11-29,1.39,79973.14,42662.25,42662.25
2015-11-22,1.4,90242.31,49642.35,49642.35
2015-11-15,1.36,99703.72,56335.34,55593.12
2015-11-08,1.3,111038.95,60187.87,58885.65
2015-11-01,1.23,118541.11,54298.62,52956.4
2015-10-25,1.36,99554.55,61283.43,59381.21
2015-10-18,1.29,106083.75,63787.47,62627.47
2015-10-11,1.3,109153.84,56025.17,54829.61
2015-10-04,1.33,98900.48,57425.67,56141.23
2015-09-27,1.31,90745.72,28438.3,27767.19
2015-09-20,1.54,60624.47,19258.95,18437.84
2015-09-13,1.59,73043.2,22867.43,22421.87
2015-09-06,1.56,76139.58,25106.09,25092.76
2015-08-30,1.38,83731.42,20483.02,20483.02
2015-08-23,1.49,68953.29,23840.42,23840.42
2015-08-16,1.5,69798.09,22371.73,22371.73
2015-08-09,1.47,81830.13,24051.92,24051.92
2015-08-02,1.47,78162.92,31622.86,31622.86
2015-07-26,1.39,91825.07,43788.54,43788.54
2015-07-19,1.36,128846.15,70982.41,70982.41
2015-07-12,1.45,127351.46,74222.68,73796.01
2015-07-05,1.47,140413.9,75277.49,74370.82
2015-06-28,1.36,137246.7,78811.96,78749.74
