,Unnamed: 0,Date,AveragePrice,Total Volume,TotalBags,SmallBags
7300,41,2017-03-19,1.53,287195.89,87938.44,56308.21
7301,42,2017-03-12,1.52,290011.0,85219.68,51987.48
7302,43,2017-03-05,1.55,270877.61,72106.22,41112.34
7303,44,2017-02-26,1.25,307685.6,88242.34,53501.63
7304,45,2017-02-19,1.26,262109.86,71717.47,40951.55
7305,46,2017-02-12,0.95,430096.94,105922.37,48557.37
7306,47,2017-02-05,0.85,711200.33,197067.77,94810.52
7307,48,2017-01-29,1.24,364048.79,137958.25,70535.42
7308,49,2017-01-22,1.0,481274.0,188688.37,66571.38
7309,50,2017-01-15,1.27,356960.5,136036.6,69128.81
7310,51,2017-01-08,1.28,301768.99,121358.22,65681.77
7311,52,2017-01-01,0.95,447083.97,170066.18,61681.31
7312,0,2017-12-31,1.35,334783.58,106517.41,79090.96
7313,1,2017-12-24,1.34,379421.96,135134.32,116972.59
7314,2,2017-12-17,1.43,344203.81,131209.93,114735.77
7315,3,2017-12-10,1.23,575854.08,133341.34,113064.75
7316,4,2017-12-03,1.35,379540.0,148879.0,128086.0
7317,5,2017-11-26,1.38,337065.0,146857.0,118548.0
7318,6,2017-11-19,1.34,384115.0,186302.0,131913.0
7319,7,2017-11-12,1.45,356528.0,132910.0,108280.0
7320,8,2017-11-05,1.4,384628.71,172371.12,141562.78
7321,9,2017-10-29,1.53,367260.68,117573.12,111580.31
7322,10,2017-10-22,1.53,376196.84,134953.42,122293.75
7323,11,2017-10-15,1.64,368965.61,127188.1,110631.92
7324,12,2017-10-08,1.67,331169.67,123720.84,117136.44
7325,13,2017-10-01,1.62,389987.92,148162.05,133321.24
7326,14,2017-09-24,1.58,383655.09,131391.44,121155.89
7327,15,2017-09-17,1.54,366239.72,128767.48,114989.9
7328,16,2017-09-10,1.54,358609.19,123513.45,116229.76
7329,17,2017-09-03,1.7,363905.02,118350.56,111664.4
7330,18,2017-08-27,1.68,370286.98,128477.52,117020.86
7331,19,2017-08-20,1.64,368098.13,137502.47,118791.88
7332,20,2017-08-13,1.54,385890.89,147184.2,126569.88
